1438,0,4,1831,11500
1719,0,3,1681,12500
715,3,2,36,17500
1438,0,2,482,17500
1148,2,1,1265,7000
1438,2,5,88,8500
231,0,2,1831,5000
1438,0,3,88,8000
75,0,2,1265,5250
1719,0,2,1681,9000
259,0,2,129,12000
1438,2,4,1265,12500
1719,0,3,1681,9000
6,1,2,53,3500
1438,3,3,1831,9000
52,2,2,1831,12500
715,1,3,1265,11500
1438,3,1,1265,20000
133,3,4,1831,17500
381,1,3,224,7000
1438,0,1,1831,5250
1719,2,3,120,11500
8,1,2,143,4500
109,2,3,1831,5000
381,3,2,482,7250
381,2,4,4,12500
1438,2,4,371,11500
11,1,5,287,5000
1719,0,4,1831,12500
67,2,6,1831,9000
1438,3,4,1831,22500
231,3,2,1831,7000
1719,1,2,52,5500
121,1,2,1265,9000
381,2,2,340,30000
8,0,1,1681,7000
80,0,2,1831,13500
